CNES;Nome UBS;INE;Sigla;Pré-Natal (6 consultas) (%);Pré-Natal (Sífilis e HIV) (%);Gestantes Saúde Bucal (%);Cobertura Citopatológico (%);Cobertura Polio e Penta (%);Hipertensão (PA Aferida) (%);Diabetes (Hemoglobina Glicada) (%)
6871607;PROGRAMA SAUDE DA FAMILIA EQUIPE C POTIM;345377;-;0;29;29;6;76;17;31
7035934;PROGRAMA SAUDE DA FAMILIA EQUIPE D POTIM;345385;-;0;25;50;8;43;5;4
6871577;PROGRAMA SAUDE DA FAMILIA EQUIPE A POTIM;345350;-;0;29;0;9;75;34;17
6871593;PROGRAMA SAUDE DA FAMILIA EQUIPE B POTIM;345369;-;5;47;42;9;76;30;6
918113;UBSF WALDEMIR JOSE PEDROSO;2234629;-;0;50;38;7;100;55;30
7497024;PROGRAMA SAUDE DA FAMILIA EQUIPE E POTIM;1532847;-;0;40;20;1;89;44;26
