CNES;Nome UBS;INE;Sigla;Pré-Natal (6 consultas) (%);Pré-Natal (Sífilis e HIV) (%);Gestantes Saúde Bucal (%);Cobertura Citopatológico (%);Cobertura Polio e Penta (%);Hipertensão (PA Aferida) (%);Diabetes (Hemoglobina Glicada) (%)
6871607;PROGRAMA SAUDE DA FAMILIA EQUIPE C POTIM;345377;-;55;73;82;9;77;72;70
7035934;PROGRAMA SAUDE DA FAMILIA EQUIPE D POTIM;345385;-;45;91;36;13;67;31;17
6871577;PROGRAMA SAUDE DA FAMILIA EQUIPE A POTIM;345350;-;56;78;11;11;87;31;12
6871593;PROGRAMA SAUDE DA FAMILIA EQUIPE B POTIM;345369;-;43;86;57;12;72;35;11
918113;UBSF WALDEMIR JOSE PEDROSO;2234629;-;45;100;55;12;90;83;77
7497024;PROGRAMA SAUDE DA FAMILIA EQUIPE E POTIM;1532847;-;78;89;11;5;89;40;18
